N° Enr.;NomETS;RegionETS
136;ALIYOU FATIMA;BRAZZAVILLE
137;ALKHAR;POINTE-NOIRE
138;ALL IS POSSIBLE ( TOUT EST POSSIBLE );POINTE-NOIRE
139;ALLEGRA;BRAZZAVILLE
140;ALLEGRESSE DE LA RECOMPEN;BRAZZAVILLE
141;ALLIANCE FORTUNE DE KONDE;POINTE-NOIRE
142;ALLIANCE WINNERS ;POINTE-NOIRE
143;ALMAR;BRAZZAVILLE
144;ALPHA (LES JEUNES SOURDS);BRAZZAVILLE
145;ALPHA SCHOOL 1;POINTE-NOIRE
146;ALPHA-OMEGA;NIARI
147;ALPHABETISATION;BRAZZAVILLE
148;ALPHABETISATION ;BRAZZAVILLE
149;ALPHABETISATION-BAC;BRAZZAVILLE
150;ALPHABETISATION-MADIBOU;BRAZZAVILLE
151;ALPHABETISATION-MAK-1;BRAZZAVILLE
152;ALPHABETISATION-MAK-2;BRAZZAVILLE
153;ALPHABETISATION-MF-NG;BRAZZAVILLE
154;ALPHABETISATION-MGL-1;BRAZZAVILLE
155;ALPHABETISATION-OUENZE-1;BRAZZAVILLE
156;ALPHABETISATION-PP;BRAZZAVILLE
157;ALPHABETISATION-TAL-2;BRAZZAVILLE
158;ALPHONSE MA SAGESSE;POOL
159;ALPHONSE ONDONGO;POOL
160;ALPHONSO 1er;POINTE-NOIRE
161;AMBROISE KOUANGA;POINTE-NOIRE
162;AMIS D'ISMAËL;BRAZZAVILLE
163;AMIS DE GILLE TRESOR;BRAZZAVILLE
164;AMITIE;BRAZZAVILLE
165;AMITIE A ;BRAZZAVILLE
166;AMITIE B;BRAZZAVILLE
167;AMITIE CONGO-CHINE A;BRAZZAVILLE
168;AMITIE CONGO-CHINE A-DJIR;BRAZZAVILLE
169;AMITIE CONGO-CHINE A-MADI;BRAZZAVILLE
170;AMITIE CONGO-CHINE B;BRAZZAVILLE
171;AMITIE CONGO-CHINE B-DJIR;BRAZZAVILLE
172;AMITIE CONGO-CHINE B-MADI;BRAZZAVILLE
173;AMITIE-OUENZE-2;BRAZZAVILLE
174;AMOUR - VICTOIRE;BRAZZAVILLE
175;AMOUR DEI;POINTE-NOIRE
176;AMOUR DU PAYS;POINTE-NOIRE
177;AMOUR ET VIE;BRAZZAVILLE
178;AMOUR ET VIE ( MASSISSIA);BRAZZAVILLE
179;AMOUR ET VIE ( METEO);BRAZZAVILLE
180;AMOUR ET VIE 2;BRAZZAVILLE
181;AMOUR ET VIE MASSISSIA;BRAZZAVILLE
182;AMOUR ET VIE-L-SEBAST;BRAZZAVILLE
183;AMOUR ET VIE-MAK-2;BRAZZAVILLE
184;AMOUR VICTOIRE;BRAZZAVILLE
185;ANACLET LOUNGOU;BRAZZAVILLE
186;ANACLET SOUNGOU;BRAZZAVILLE
187;ANATOLE BIYOUDI;POINTE-NOIRE
188;ANATOLE MALONGA;BRAZZAVILLE
189;ANDOYEBE ;POINTE-NOIRE
190;ANDRE DAVESNE;BRAZZAVILLE
191;ANDRE DAVESNE ;BRAZZAVILLE
192;ANDRE DAVESNE 2;BRAZZAVILLE
193;ANDRE DAVESNE I;BRAZZAVILLE
194;ANDRE GRENARD MATSOUA;POOL
195;ANDRE GRENARD MATSOUA M;POOL
196;ANDRE MBEMBA;POINTE-NOIRE
197;ANDRE SISSILA;POOL
198;ANGE BERTIN;POINTE-NOIRE
199;ANGE GABRIEL;BRAZZAVILLE
200;ANGELIQUE MASSE;BRAZZAVILLE
201;ANGES GARDIENS;POINTE-NOIRE
202;ANGOLA LIBRE;BRAZZAVILLE
203;ANNA MARIE JAVOUHEY;BRAZZAVILLE
204;ANNE BENOITE;BRAZZAVILLE
205;ANNE CATHERINE EMMERICH;POINTE-NOIRE
206;ANNE MARIE JAVOUHEY;BRAZZAVILLE
207;ANNE MARIE JAVOUHEY;POINTE-NOIRE
208;ANNE MARIE JAVOUHEY-DJIRI;BRAZZAVILLE
209;ANNE MARIE JAVOUHEY-PT;BRAZZAVILLE
210;ANTOINE BOUYA;POOL
211;ANTOINE SAVOISIER;BRAZZAVILLE
212;ANTOINETTE SOUNGUI;BRAZZAVILLE
213;ANUARITE;POINTE-NOIRE
214;ARBRE DE VIE;BRAZZAVILLE
215;ARC D'ALBERTINE;POINTE-NOIRE
216;ARC- EN- CIEL;POINTE-NOIRE
217;ARC-EN-CIEL;BRAZZAVILLE
218;ARC-EN-CIEL ALLIANCE;BRAZZAVILLE
219;ARC-EN-CIEL DE G.;BRAZZAVILLE
220;ARC-EN-CIEL-MFILOU;BRAZZAVILLE
221;ARCHE DE DIEU;POINTE-NOIRE
222;ARCHE DE NOE;POINTE-NOIRE
223;ARCHE DE VIE;BRAZZAVILLE
224;ARCHI SCHOOL;POINTE-NOIRE
225;ARCHI-SCHOOL;POINTE-NOIRE
226;ARMEE DU SALUT;BRAZZAVILLE
227;ARMEE DU SALUT;POINTE-NOIRE
228;AROBASE LES PYRAMIDES CENT POUR CENT;PLATEAUX
229;ASEC-POTO-POTO;BRAZZAVILLE
230;ASER;BRAZZAVILLE
231;ASSEH BOUOP;SANGHA
232;ASSENI SCOLARITE;BRAZZAVILLE
233;ASSENI SCOLARITE-MFILOU;BRAZZAVILLE
234;ASSUMPTA PROMESSE;BRAZZAVILLE
235;AT GOLDEN;BRAZZAVILLE
236;AT GOLDEN EAGLE SCHOOL;BRAZZAVILLE
237;ATTENTION;SANGHA
238;AUBE NOUVELLE;BRAZZAVILLE
239;AUDREY;BRAZZAVILLE
240;AUGUSTE BITSINDOU A;BRAZZAVILLE
241;AUGUSTE BITSINDOU B;BRAZZAVILLE
242;AUGUSTE BITSINDOU C;BRAZZAVILLE
243;AUGUSTE MAHINGA;POINTE-NOIRE
244;AUGUSTE MANDZO;BRAZZAVILLE
245;AUGUSTIN LE WINNER;BRAZZAVILLE
246;AUGUSTINA'S EVEIL;POINTE-NOIRE
247;AUREOLE;BRAZZAVILLE
248;AVARRA School ;NIARI
249;AVENIR D ODZIBA 2;POOL
250;AVENIR D'EFAEBI;BRAZZAVILLE
251;AVENIR DE NOS ENFANTS;POINTE-NOIRE
252;AVENIR REEL;BRAZZAVILLE
253;AVENIR REEL-3 MADIBOU;BRAZZAVILLE
